X,Class1,Class2
0.847808,1.35946,
0.437822,1.01819,
0.830644,-0.215491,
-0.0636904,0.891715,
1.11009,-0.312759,
1.96428,2.39574,
2.2458,1.30014,
0.764027,0.195839,
1.02585,1.04538,
2.39432,1.87915,
1.08278,3.71688,
0.348364,1.59444,
-0.0255936,1.5411,
0.845666,-0.752835,
1.15376,1.436,
0.239842,0.563723,
1.47494,0.660212,
1.43841,1.41263,
1.72381,1.75309,
-0.0932744,0.522473,
1.27801,0.247491,
1.23344,0.141248,
-0.266156,-0.666164,
1.1563,0.322732,
1.7621,1.34953,
0.26706,0.0268888,
0.617354,0.280399,
0.936047,-0.391415,
0.39125,1.88933,
1.43473,3.02122,
1.59552,1.32166,
1.25882,0.735583,
-1.1099,1.44895,
2.77864,0.672831,
0.387929,0.184041,
-0.216541,1.7064,
1.52736,-1.70402,
1.17934,-0.819618,
0.804379,2.13437,
0.679964,-0.0123429,
1.08832,1.41141,
-0.608781,0.101662,
0.487953,0.910051,
2.28966,1.56884,
-1.32626,-0.0239066,
1.29306,-0.377978,
0.494927,-1.34865,
1.00343,0.806741,
1.74093,-0.38353,
1.67462,0.610397,
1.4441,1.12037,
0.795186,1.63939,
1.91595,0.364229,
1.33275,1.65427,
1.38297,1.80661,
0.681082,1.30396,
0.853381,2.1179,
0.879992,1.48298,
-0.296104,0.283154,
-0.542248,2.34041,
1.0184,2.94541,
1.04912,1.96526,
2.75625,0.720795,
-0.238825,-0.176192,
-0.0646576,0.757769,
1.33295,0.556192,
1.15374,-0.63815,
-0.46578,0.541114,
0.10794,0.919972,
0.100954,0.300341,
-0.680226,1.73651,
1.1652,1.05384,
1.17702,-1.02358,
2.11355,1.10308,
1.33478,0.869137,
2.48384,1.09156,
1.35927,0.543357,
2.33024,0.887634,
1.48205,-0.76674,
2.46153,1.74528,
1.94306,1.96564,
1.36582,1.4622,
2.04211,0.676919,
3.17805,0.688072,
-0.641281,0.540035,
0.17195,0.937217,
0.384871,0.259847,
0.240467,1.83941,
2.31091,0.614499,
1.6832,0.671876,
1.54185,1.76955,
1.44181,0.186037,
-1.13327,1.10176,
0.474095,0.801931,
0.527271,0.70785,
-0.999914,1.81092,
2.7637,1.38635,
-1.05781,1.95788,
1.85251,-0.395826,
1.24726,-0.629145,
2.56653,1.21896,
1.77369,0.926544,
1.6145,-1.39788,
0.520955,2.71609,
0.252555,3.01545,
1.64293,1.68425,
-0.84558,0.238805,
1.08746,1.62133,
2.5591,0.282663,
-1.70222,1.46487,
0.502355,0.749865,
1.36643,1.30958,
3.25468,2.04384,
0.5332,0.623575,
3.09082,-0.058144,
1.0136,1.20839,
1.46607,1.01876,
1.22302,0.988169,
0.549208,-1.40726,
2.14903,-0.654583,
2.13345,0.249613,
0.127715,0.583066,
0.918461,-1.1272,
1.66339,2.36432,
1.85658,1.9342,
0.0559576,1.91014,
1.06927,1.65,
0.329907,1.87696,
2.07381,1.66469,
0.835422,1.0371,
-0.516928,-0.315385,
1.00188,-2.30239,
-0.701693,0.918696,
-0.391563,2.47032,
1.6045,0.73124,
0.34993,1.32904,
1.26744,2.14893,
1.46816,0.460844,
2.77843,0.0189945,
0.857811,2.22612,
-0.0574756,0.954459,
0.418048,1.01443,
-1.00632,1.37791,
1.1634,0.159956,
2.5402,-0.423947,
0.595742,1.35369,
0.757974,0.572511,
0.957116,1.28721,
1.34224,0.874801,
0.58148,1.6522,
1.18475,1.47897,
1.0964,0.450721,
0.53791,1.48206,
2.02347,1.4634,
0.797319,0.108836,
0.70109,0.706435,
0.338293,0.698148,
0.760219,1.35812,
1.41373,0.961335,
1.47047,1.67118,
0.362403,0.288105,
0.506141,1.03131,
-0.9821,-1.16386,
1.35981,2.10078,
-0.511103,1.85588,
1.20195,1.61647,
0.417147,1.26636,
0.638341,2.98332,
0.216999,0.674714,
0.914119,1.23676,
1.53864,1.32773,
2.28318,1.84788,
1.45937,1.89317,
1.24383,2.15326,
0.770049,0.0773975,
0.601701,0.798286,
0.118747,0.816366,
0.973368,2.62507,
0.629999,-0.884792,
0.217092,0.360956,
0.110379,1.1764,
-1.36033,1.78655,
1.19729,0.770679,
2.87573,3.09411,
0.230749,0.401869,
1.10614,1.8634,
-0.0172067,0.400111,
-1.06783,0.816093,
0.565731,1.49513,
2.06292,1.8018,
-0.749018,2.35766,
0.0785018,-0.69575,
1.12447,1.25847,
1.10131,1.85014,
1.25565,0.8621,
2.55741,1.10677,
0.0290065,0.891245,
1.86353,1.70826,
2.37999,0.381395,
0.434427,-0.930435,
1.24625,-0.232942,
-0.613035,1.27595,
0.493543,0.262277,
1.53343,1.30566,
2.57129,2.46822,
-0.676668,-0.272715,
1.10264,1.39155,
1.14464,0.310985,
1.90887,1.28724,
2.50951,1.04152,
0.550284,1.6131,
1.14517,0.338002,
1.81889,2.13062,
1.73174,0.179756,
1.60132,0.193066,
1.29621,0.203313,
-0.201184,0.666126,
1.08883,-0.389793,
0.906045,0.421619,
1.40138,2.39462,
-0.524652,1.37503,
1.3511,0.22935,
2.18544,3.17401,
1.43059,0.457373,
1.3357,1.05086,
2.35134,1.06719,
1.74604,1.56643,
0.410015,1.40875,
0.514885,1.30314,
-0.949673,0.301308,
1.04665,1.23768,
1.65053,-0.934411,
2.08037,3.71591,
0.789008,1.64149,
2.8217,1.76094,
0.650806,1.73023,
0.163832,2.16282,
0.960458,-0.825731,
-0.323532,0.060595,
1.91541,1.03417,
3.27801,1.22084,
0.784579,0.81332,
0.159996,0.761822,
-0.953136,0.981269,
1.37331,0.522622,
1.93828,0.743675,
1.35371,2.72638,
1.19431,-0.732637,
1.64287,1.89928,
2.96861,0.940967,
0.402418,0.0857634,
0.500848,0.29789,
2.48324,3.07104,
0.223447,1.50278,
-0.579734,0.343383,
1.14722,-0.806798,
1.32963,2.41632,
0.357222,2.03028,
1.54236,2.74901,
1.9629,0.657244,
1.86696,2.19702,
2.17339,1.79743,
-0.561459,2.03345,
0.853348,0.347907,
1.45311,1.77475,
0.984828,0.588332,
2.51131,0.559643,
1.33687,0.866001,
-0.138027,0.117223,
0.209476,1.71993,
2.02791,-0.74923,
1.45403,1.57571,
3.69129,1.47743,
0.204239,0.312295,
1.20196,-0.0634444,
1.55485,-0.192308,
2.34192,3.32121,
1.80738,0.870719,
1.36675,2.00817,
0.479548,2.38129,
0.00450349,1.83698,
0.958124,-0.429011,
0.808883,1.09707,
0.584749,1.71542,
-1.29995,0.584696,
1.30977,3.14406,
1.09727,1.92308,
0.704535,0.303973,
1.32616,1.78431,
0.549996,0.408316,
-0.683161,-0.784425,
1.81433,1.80696,
-0.804409,-0.512212,
1.00006,1.4442,
1.3925,0.110584,
1.15393,-0.295181,
1.97156,0.0922514,
3.27647,-0.285829,
-0.180125,1.72398,
2.30584,-0.960874,
2.06732,0.160923,
-1.07644,1.7193,
1.43549,1.87375,
1.19942,-0.44087,
0.823164,1.57918,
-0.143789,2.87437,
-0.281015,2.00715,
0.463525,0.956057,
2.62171,2.06656,
2.11464,0.588433,
1.07726,1.41972,
2.07428,-0.436316,
1.6216,-0.238028,
-0.194269,0.711515,
1.47328,0.977811,
1.7493,0.539918,
1.30307,1.77006,
2.19824,0.863061,
2.60541,1.18659,
-0.0302652,1.85384,
0.989361,0.515239,
0.921024,1.58904,
1.26132,2.66326,
-1.71743,0.271804,
-0.0531677,0.275029,
1.80258,0.939096,
0.234199,0.852789,
1.30261,-1.12471,
3.05765,1.10553,
2.23493,0.518412,
-0.549787,0.242013,
0.314209,1.62597,
0.359499,0.0581739,
1.28155,0.798218,
2.0999,1.82446,
0.975188,1.64023,
0.325169,1.86019,
1.55855,0.324584,
2.2363,-1.65121,
0.813565,1.16728,
2.49563,0.784094,
1.69015,0.973279,
-0.0490487,-2.08804,
0.516438,0.981966,
3.08705,1.25207,
-0.324241,2.69233,
-0.979307,2.28735,
0.740809,0.927175,
0.792054,0.0505778,
2.75067,0.60911,
1.46329,0.722129,
1.37567,-0.0584283,
0.245088,0.783088,
2.5441,1.47533,
2.8357,1.55402,
1.09549,2.32039,
0.913997,0.661226,
0.761675,0.292619,
0.804525,0.745472,
0.844963,0.519593,
0.761469,1.28005,
2.74638,0.748643,
-0.150973,2.23726,
0.507509,-0.00164509,
1.53459,0.822174,
-0.997019,1.09158,
1.09101,0.823162,
0.337224,1.8899,
0.757313,-0.883132,
-1.9641,1.86357,
1.0502,0.231085,
-0.0690364,0.937225,
0.614603,1.68914,
1.19242,1.49692,
0.550317,0.418036,
0.898126,2.02179,
0.912667,1.19708,
-0.0933342,2.02263,
-0.142104,0.598302,
0.489857,0.291873,
0.481791,0.797994,
0.900801,0.622737,
2.2521,1.18607,
-0.585331,0.692168,
3.5013,1.3511,
0.894589,1.32815,
2.94574,2.19304,
1.17066,0.0947656,
1.30089,2.54121,
2.06973,0.262242,
-0.57584,1.00688,
1.37358,2.27577,
1.41478,1.26421,
0.137663,1.92244,
2.04347,1.788,
1.28588,3.84531,
1.94397,0.493801,
2.12143,1.95852,
2.65225,1.4478,
1.73371,-0.801246,
0.721014,1.74845,
1.89193,-0.386225,
1.69594,0.979366,
0.14015,0.920542,
-0.197053,0.8258,
1.06628,1.08918,
1.63285,2.91305,
0.254168,0.988861,
1.64348,1.66329,
1.74775,0.432166,
1.36485,0.0390582,
2.1205,0.126269,
0.845116,1.2168,
1.29263,2.28709,
1.82309,3.22776,
-0.373803,0.523548,
1.60645,1.2114,
0.134624,0.409928,
0.398896,-1.86625,
0.85508,0.586567,
0.433681,-1.51997,
0.487859,-0.572399,
2.71365,0.0168907,
0.649308,1.14582,
1.46154,1.04966,
0.719258,1.70539,
2.40652,2.6123,
2.02942,3.43315,
0.57671,1.15465,
-0.506379,1.54471,
1.7089,1.5269,
2.03826,2.84129,
0.980777,0.583248,
0.637477,1.06919,
1.11529,0.749839,
-0.0825071,1.2621,
2.38923,2.19713,
0.953623,0.90389,
2.32545,1.3494,
1.43676,-0.361228,
1.69578,0.394701,
1.55487,0.598461,
2.39139,1.1515,
2.56493,0.00272298,
1.15703,3.68366,
0.403002,1.3449,
0.915045,2.63542,
1.93718,1.45316,
1.82751,0.577595,
3.25493,0.45509,
0.0611693,0.398305,
-0.0569553,1.84639,
1.23568,0.559934,
-1.53067,0.728084,
0.708805,1.01315,
1.60253,-0.532482,
1.59713,1.46558,
1.01907,1.90891,
0.284507,1.03782,
3.30136,1.76473,
1.0933,0.727532,
1.23479,0.785196,
1.36247,0.497857,
1.00208,0.0673502,
2.07767,1.16823,
3.16473,2.5672,
1.16822,0.191205,
-0.417457,1.68812,
1.63894,0.354915,
0.948215,2.2173,
1.67396,0.918743,
1.47997,-1.17965,
1.83055,1.10023,
0.234295,0.732945,
0.283713,1.39924,
-0.705536,-0.355822,
1.92764,-0.0978284,
0.986695,1.67702,
0.346159,2.78584,
0.633934,-0.0277044,
1.56693,1.41673,
0.899201,1.11157,
-0.129078,0.858907,
-1.39326,2.26416,
1.25362,0.220489,
-1.52653,-0.827293,
1.32195,-0.00270927,
1.47057,-0.0572702,
0.185515,2.68781,
1.32651,2.67193,
0.299389,1.41977,
-0.372077,2.00363,
1.95576,0.0133274,
-0.805976,-0.964285,
0.184419,0.36949,
-0.688755,2.58197,
-0.902725,-1.44422,
2.28518,-0.191415,
0.562339,0.188983,
1.35548,2.3147,
0.256529,0.903978,
1.14094,1.19634,
0.260577,-0.81746,
0.0986465,0.79301,
1.21229,2.27887,
2.06885,2.4775,
0.0277801,0.770946,
-0.68932,0.20327,
0.942953,2.27177,
0.915547,0.544974,
-0.848442,-0.953513,
1.19834,1.88629,
1.67926,1.60019,
1.3592,0.937125,
1.52292,0.302831,
2.66129,0.172717,
2.75644,1.28732,
1.568,2.57146,
1.37871,1.41214,
1.19501,1.33691,
0.0134003,2.65427,
-0.36908,0.645493,
1.64256,0.499606,
0.832075,0.333739,
0.949423,1.71616,
1.65954,0.387768,
0.0808358,1.83388,
1.63635,0.961605,
0.649264,3.804,
-0.412516,0.647439,
0.987201,2.5891,
0.332819,3.203,
0.182724,0.422432,
0.669917,0.20256,
1.25115,0.284373,
1.39818,2.56541,
0.862157,0.657069,
0.355867,3.61126,
1.07187,2.39321,
-0.160107,0.111464,
0.810796,2.10357,
1.16592,1.07522,
0.221417,-1.19844,
0.186303,-0.882301,
1.81807,0.904712,
2.48116,0.436436,
-1.4214,1.5853,
2.10237,0.688826,
0.42629,-0.229254,
1.35713,0.409778,
1.57326,-0.186041,
2.30798,2.25012,
0.162412,0.908417,
0.424039,0.649563,
3.50351,2.46011,
1.5573,0.969412,
-0.465245,0.540683,
-0.0219722,2.10233,
0.0295861,0.128398,
1.17007,1.43307,
0.470325,0.217776,
-0.25048,-1.51075,
0.737113,0.346045,
0.653118,0.831512,
0.723682,1.9816,
2.76284,0.752149,
0.499795,0.314584,
0.701591,0.827728,
1.28443,0.585637,
0.293964,0.760035,
2.56376,-0.250154,
1.95764,0.606968,
0.844803,2.48447,
1.51413,1.35494,
-0.404245,0.924225,
1.49367,0.217618,
1.16554,0.493917,
2.2267,1.07107,
1.86536,-1.00437,
0.363145,3.12486,
1.82066,0.993819,
2.70406,-0.0849626,
1.35253,1.01239,
1.34279,1.39299,
1.7205,0.753911,
-0.969652,-0.711432,
1.33632,2.11891,
-0.573768,-0.101823,
0.436363,1.44898,
-1.10159,0.948588,
1.90951,0.831593,
-0.564118,-0.503192,
0.393281,-1.12937,
0.227574,1.63411,
-0.571627,1.32879,
1.23025,2.52692,
2.7479,2.45723,
2.05819,2.85825,
0.736438,2.5321,
0.858886,-0.936944,
0.0243061,0.293965,
1.7397,0.255613,
1.74288,3.01973,
-0.559857,0.972615,
0.410482,1.40839,
0.120165,2.95712,
2.20925,-0.339022,
1.07468,1.52071,
0.717887,-0.616492,
0.0193216,0.299867,
1.40879,1.00157,
0.757331,0.604487,
2.46698,0.351626,
-0.773004,2.54385,
0.197063,2.53947,
1.33173,-0.208079,
0.70212,1.6925,
0.0950795,1.91751,
0.187201,2.73874,
0.737375,0.959887,
-0.116596,1.04901,
0.520532,1.86744,
2.27122,2.20179,
1.67759,2.92865,
1.47253,1.698,
0.600868,2.82755,
1.02637,0.767226,
0.31636,1.30042,
0.458539,0.768524,
-0.72262,1.81274,
2.57941,0.524972,
0.0989984,0.152205,
-0.0421299,-0.810906,
2.50169,0.819131,
1.76818,0.481211,
0.929737,0.387019,
0.644835,0.61335,
0.862077,2.28411,
2.23578,0.51392,
1.93088,0.567671,
2.66611,-1.20218,
3.68772,0.737186,
2.71731,-0.114766,
1.2018,-0.15725,
1.41474,1.01076,
1.23596,1.17305,
0.0845904,0.676266,
1.20821,1.07625,
0.32334,0.503475,
1.34093,1.82486,
1.30122,1.797,
1.4302,0.148233,
1.1128,2.85181,
1.91623,2.14839,
-0.159132,-0.663356,
1.998,-0.626969,
0.872633,-0.594059,
0.33411,1.76298,
0.0107806,-0.239036,
0.376399,1.29488,
0.820696,1.61486,
0.525657,1.77059,
0.112077,1.54662,
2.4184,1.89808,
0.636938,1.90964,
0.855857,0.746852,
1.58674,0.833958,
0.15172,0.557782,
-0.259091,1.50911,
2.26774,0.192784,
-0.53925,0.0407996,
0.948517,1.56842,
-0.329955,-0.0350461,
1.39553,1.86795,
-0.581082,0.890549,
2.55745,2.85401,
-0.371996,-1.32859,
2.16866,-0.313597,
-0.816176,1.72794,
0.753467,0.085217,
0.718428,-0.58134,
1.3562,0.0116934,
2.92037,-0.746044,
-0.198391,-0.900532,
0.248408,1.99093,
1.67413,1.34758,
1.65311,-0.569761,
0.535483,0.0458015,
1.7231,2.21624,
0.872911,1.59904,
2.15256,1.37672,
0.882994,1.92451,
0.227852,1.91671,
2.26501,-0.748491,
2.18881,-0.311177,
1.89255,0.99299,
-0.119344,0.610406,
-0.794479,1.40996,
2.71751,0.376226,
0.758214,0.442611,
1.13895,0.553566,
0.676252,1.85513,
-1.09409,1.9196,
0.510615,1.89785,
0.663364,1.20572,
1.07909,1.22065,
0.523171,0.653542,
0.0718827,0.799069,
0.758354,2.06243,
2.10001,2.06265,
0.863,0.037802,
2.01971,0.897352,
1.11925,-0.0503958,
-0.802503,2.0536,
2.13069,0.532142,
1.8326,0.148319,
-0.317746,-0.361857,
2.14909,1.11048,
1.35279,0.238736,
0.433045,1.26682,
-2.01676,0.303872,
2.02536,2.1735,
1.4002,0.624794,
1.52606,1.24909,
-0.326006,0.405509,
0.835352,-0.510985,
1.45863,0.759324,
0.835757,1.60091,
1.54182,1.82025,
1.73161,-0.461493,
1.11191,1.24547,
2.16339,0.0413763,
0.63594,0.0505626,
1.40832,0.249101,
2.55998,0.834061,
1.98362,1.87543,
1.38548,1.86681,
-0.152316,0.53592,
0.414038,1.27817,
0.288572,-1.20552,
2.2064,1.04168,
-0.345352,0.447178,
-0.663665,0.546693,
-0.87325,0.998286,
0.201254,-0.208662,
2.08866,2.47014,
-0.125517,1.49328,
0.0393942,-0.0817325,
0.863831,2.77588,
1.75244,-0.456758,
0.382803,1.37908,
3.0392,1.72085,
0.32378,1.0752,
0.648589,0.729014,
2.53926,1.06344,
2.158,0.370467,
1.93231,1.24611,
-0.227802,-0.403568,
1.06283,0.489704,
0.518085,1.68925,
0.778317,0.687002,
1.70469,-1.65479,
-0.0987481,1.20518,
0.277811,0.728409,
1.91075,-0.10446,
0.154516,-0.0383953,
0.924053,0.970102,
2.10295,0.943913,
-0.134852,1.22279,
1.94231,1.47568,
-0.597301,-0.537239,
1.45786,0.515735,
-0.954339,0.839959,
0.912546,-1.07732,
0.924866,2.12158,
1.55641,0.117497,
-0.371565,2.10065,
0.126811,0.338237,
0.808011,0.560767,
1.21772,-0.322639,
1.10366,-0.658383,
2.13359,2.627,
-1.30239,1.14316,
1.47004,-0.459848,
1.57431,1.29832,
2.68117,0.277066,
0.362453,0.299247,
1.57807,-0.310339,
2.12795,0.427924,
2.1932,2.81877,
1.54206,2.19182,
1.99141,1.40381,
0.33055,-0.248527,
-0.42194,2.96256,
1.76721,-0.271002,
2.06281,0.290555,
1.44464,0.209301,
1.70992,1.70546,
0.853169,1.74283,
0.0522878,0.544394,
1.7793,1.80436,
1.50266,2.2662,
0.610506,0.765655,
1.02863,0.837248,
1.85593,0.802314,
2.13489,0.153947,
3.23763,0.603089,
0.580665,-0.686473,
4.31887,0.26344,
1.09105,0.907213,
1.0206,0.571677,
0.178758,1.11366,
0.859443,1.8352,
-0.130203,2.58991,
1.44382,0.00697345,
1.28797,1.59025,
1.48122,0.0283437,
-0.159879,1.06959,
1.55815,3.02051,
-0.116821,1.66496,
1.37865,-0.375393,
0.213282,1.03559,
0.0404596,-0.284844,
1.03258,0.648948,
0.679879,-0.880264,
2.3057,1.28867,
2.49117,1.23834,
1.38369,0.945405,
2.04341,1.02414,
-0.169845,0.659015,
2.65176,0.751585,
1.24686,-0.945096,
2.38774,1.71017,
1.7909,0.559252,
-0.166782,2.03612,
0.979504,2.34167,
2.30148,1.4933,
3.05168,0.0500666,
1.42195,1.49021,
0.30778,0.561053,
1.57739,1.08523,
-1.01854,2.13317,
-0.268301,1.20506,
0.919306,0.71211,
0.923903,2.00385,
0.761391,2.12498,
1.00595,2.56234,
-0.341052,1.43973,
-0.210243,2.55194,
2.27646,-1.66764,
-0.47769,-0.701422,
0.275663,0.213948,
0.751857,2.25134,
0.545271,1.09332,
-0.208646,1.75602,
-1.05049,-0.191973,
0.949359,0.636305,
2.27163,2.16909,
0.428702,2.5028,
1.79589,-0.395963,
1.26589,1.57031,
0.0625141,0.946876,
1.01954,1.17078,
1.84563,0.619713,
0.372589,0.799588,
0.897271,1.21367,
1.2396,2.41489,
1.15231,1.53993,
1.30509,0.929195,
-0.0515014,2.54705,
1.67682,1.5099,
1.70119,0.0182144,
0.135015,0.95687,
1.01505,1.21756,
1.66992,-0.131463,
1.23283,-0.167436,
0.12192,1.407,
1.18036,-0.221434,
1.65186,1.16576,
0.636173,-0.868389,
0.546485,1.54651,
1.04643,-0.30906,
0.743101,-0.54224,
0.44981,1.90127,
0.213593,-0.113984,
1.34046,-0.720186,
0.313404,1.33555,
2.11047,1.11249,
0.895367,3.19154,
2.40791,1.06345,
1.59466,1.71654,
0.15835,1.05573,
2.36329,0.330543,
-0.134755,0.013167,
1.30816,0.771298,
-0.683708,-0.00358295,
2.88964,0.909061,
1.34955,1.00137,
1.20699,0.828472,
1.65117,1.56833,
0.296654,1.32881,
0.759878,1.14976,
-0.609796,0.685715,
-1.27541,2.50019,
-0.133574,0.0408761,
0.495618,0.416809,
1.10955,1.71072,
0.29562,2.41239,
1.05202,1.78508,
1.91911,-0.442444,
1.30937,-0.00890124,
-0.580989,1.91568,
1.16848,2.42743,
2.25446,1.64726,
1.63499,2.90368,
2.08108,1.88102,
-0.331075,0.592752,
0.803484,1.46999,
1.26582,0.600288,
-0.389745,2.3938,
0.582458,0.788645,
1.734,1.39134,
2.53015,-0.122774,
0.95125,0.208779,
1.24091,0.48265,
1.09788,-0.426531,
0.972418,1.87618,
1.31414,0.351776,
0.645737,-0.32063,
1.12846,0.28268,
1.44451,0.898637,
0.740566,-0.997456,
0.482034,2.96392,
1.85742,-0.0685867,
0.722742,0.944861,
1.30113,1.13532,
0.693686,0.0719541,
0.594399,0.550221,
1.08611,0.954513,
0.127248,1.28138,
-0.474342,2.05954,
1.27611,1.6098,
1.41647,1.72312,
0.192,0.270134,
1.61066,1.16937,
2.04632,0.671751,
1.377,0.568656,
-0.14988,0.372834,
1.08774,0.44287,
-0.268859,0.388265,
1.62495,0.152393,
-0.342172,1.01944,
1.34064,1.46888,
0.573374,0.871022,
-0.929438,1.76983,
1.83584,0.063476,
1.77321,1.87424,
1.47296,0.351883,
1.19169,0.347395,
0.585775,1.36825,
0.800969,1.65475,
-0.0468267,0.519008,
0.672895,1.28962,
0.945025,-0.955963,
0.799276,-0.532027,
-0.6155,-0.0564889,
0.207185,1.51959,
2.63034,0.981885,
2.70587,1.49055,
2.08868,0.942443,
1.73679,0.0246986,
1.50875,1.41434,
2.0349,-0.559045,
2.31155,1.09802,
-1.27515,2.98197,
0.373795,0.826568,
2.08998,2.73501,
0.100163,1.65509,
0.130627,0.444029,
3.03384,0.569433,
1.01651,2.44298,
-0.195953,1.3685,
-0.147078,0.203631,
2.18643,1.87501,
1.55864,3.21171,
1.42752,2.27114,
1.23006,0.0969383,
1.35681,1.65044,
-0.213174,0.455086,
0.812922,-0.552264,
0.94,0.0164802,
1.2619,1.4572,
2.86364,1.18411,
1.28854,0.145312,
0.355011,0.0526311,
3.42542,-0.430547,
-0.230506,0.881536,
0.621273,2.02863,
2.51486,0.826861,
0.235597,1.25791,
1.21371,2.20711,
0.497907,1.01249,
1.60723,2.70775,
1.21052,0.151261,
0.535323,3.82242,
0.980451,0.923383,
1.26322,2.45842,
1.13466,2.33367,
1.3677,-1.17542,
0.456941,-0.96897,
2.64884,0.568468,
1.74353,0.0159212,
0.246402,-0.295971,
2.10171,0.18732,
-0.424549,2.16886,
0.907119,0.171721,
1.12311,0.428831,
0.915153,2.82853,
1.46886,0.834992,
1.76026,2.60321,
0.155306,-0.971349,
-0.699191,0.198089,
0.86052,0.689099,
0.880329,1.48546,
-0.200441,0.936558,
2.08497,1.58789,
1.8332,1.16912,
0.443547,-1.42153,
3.0429,-0.395175,
0.309387,0.683997,
-0.774449,1.19546,
0.820227,1.01712,
-0.149496,-0.294308,
0.0392628,0.622085,
-0.171646,1.15934,
1.42294,1.71021,
0.550781,0.961589,
3.27329,2.0698,
0.69002,2.44735,
0.401619,1.4216,
-0.52117,1.87554,
1.43734,0.776237,
1.35119,0.690392,
-0.0058831,1.62077,
1.3223,1.00206,
2.52748,2.45262,
3.13517,1.58273,
1.65039,1.50937,
1.69409,-0.0415618,
0.828095,0.236672,
1.61015,0.305805,
2.47162,1.9193,
-0.357253,1.61291,
0.440777,1.49173,
1.3731,2.74196,
1.28533,0.690791,
0.884154,0.902087,
2.08552,0.429425,
1.97358,-0.183525,
2.01831,1.34486,
